"Exportación de datos generados en Wed Apr 03 16:39:15 PDT 2024"
"Survey ID 12047672"
"Dashboard Name My Dashboard"
"ID de respuesta","Estado de respuesta","Dirección IP","Marca de tiempo (mm/dd/yyyy)","Duplicar","Tiempo necesario para completar (segundos)","Seq. Número","Referencia externa","Variable personalizada 1","Variable personalizada 2","Variable personalizada 3","Variable personalizada 4","Variable personalizada 5","Correo electrónico del encuestado","Lista de correo","Código de país","Región","¿Cuál es tu género?","¿Qué edad tienes?","¿En qué carrera estás inscrito/a?","¿Qué áreas te interesan dentro de tu carrera?","","","","","¿Posees experiencia laboral en tu campo de estudios?","¿En qué actividades te gustaría ver más a tu universidad participar y darse a conocer?","","","","","","¿Qué motivos te han hecho cursar tus estudios en esta universidad?","","","","","","","¿En qué medio o plataforma obtuviste información sobre tu universidad antes de ingresar?","¿Crees que tu universidad ofrece suficientes oportunidades para involucrarse en proyectos y actividades relacionadas con tu carrera?","¿Qué tipos de eventos o actividades te gustaría ver más en tu universidad?","","","","","","","¿Qué factores crees que deberían impulsar a tu universidad a mejorar y crecer en la próxima década?","","","","","¿En qué redes sociales ves más activa a tu universidad?","¿Crees que tu universidad está haciendo un esfuerzo suficiente para promover la igualdad de género?","¿En qué áreas crees que tu universidad debería enfocarse más para mejorar su reputación?","","","","","¿En qué actividades extracurriculares participas?","¿Con qué frecuencia asistes a los eventos organizados por tu universidad?","¿En qué áreas de la universidad te gustaría involucrarte más?","","","","","¿Qué medios prefieres para recibir comunicaciones importantes de tu universidad?",""
"128694876","Completed","186.94.65.180","04/02/2024 23:35:57","0","273","1","","","","","","","","","VE","A","2","2","1","1","1","","","","2","","","","","1","1","1","1","","","","","1","2","3","1","1","1","","","","","","","1","1","","1","3","","","1","1","","6","5","","","","1","1","1",""
"128697592","Completed","38.41.5.67","04/03/2024 01:01:58","0","536","1","","","","","","","","","VE","A","1","2","1","1","","","1","1","1","1","1","","1","","1","1","1","","","1","1","1","2","1","1","1","","","1","1","1","1","1","1","","","2","1","1","1","","1","","6","5","1","","1","","1","3",""
"128699038","Completed","190.72.89.186","04/03/2024 01:59:35","0","169","1","","","","","","","","","VE","A","2","2","1","","","","","1","2","","","","1","1","1","1","1","1","","","1","1","2","1","","1","1","","","","","","","1","","","5","1","","1","1","1","1","6","5","","","","","1","1",""
"128699720","Completed","190.78.36.94","04/03/2024 02:32:48","0","178","1","","","","","","","","","VE","D","1","2","1","1","","1","1","","2","","","","","1","1","","","","1","","","","2","1","1","","","","","","1","1","1","","","","2","1","","1","","","","6","5","1","","","","","1",""
"128709138","Completed","186.167.201.39","04/03/2024 07:28:12","0","84","1","","","","","","","","","VE","G","1","6","2","","1","","","","1","1","","","","","","","1","","","1","","","5","1","","","1","1","","","","","","1","","1","1","1","","","1","1","","6","2","","","","","","2",""
"128709358","Completed","190.74.50.58","04/03/2024 07:34:17","0","257","1","","","","","","","","","VE","","2","2","2","","1","","1","","2","","","","1","1","","1","","","","","","","2","1","1","","1","","","","1","1","","","1","","5","3","","","","","1","6","5","","","","","","3",""
"128709868","Completed","38.255.232.28","04/03/2024 07:48:54","0","308","1","","","","","","","","","US","","1","2","2","","1","","","","1","1","1","1","1","1","1","1","","","","","","","3","1","1","","1","","","1","1","1","1","","1","","2","3","","1","","1","1","5","5","1","1","","","","1",""
"128710098","Completed","201.210.157.217","04/03/2024 07:55:02","0","177","1","","","","","","","","","VE","A","1","2","2","","","","","1","2","","","1","","1","","1","1","1","","","","","4","3","","","","1","","","","","1","1","","1","5","3","1","1","","","1","6","5","","","","","1","2",""
"128710452","Completed","45.195.12.126","04/03/2024 08:03:36","0","441","1","","","","","","","","","GB","","2","2","1","1","1","1","1","","2","1","","","","","","","","1","","","","","2","3","1","1","1","","1","1","1","1","","","","","2","1","","1","","","","6","5","1","","","","","2",""
"128713049","Completed","201.249.207.148","04/03/2024 08:36:55","0","956","1","","","","","","","","","VE","","1","2","2","","","","1","","1","","","","1","","","","","1","","","","1","3","1","","","","","","","1","","1","","","","2","1","1","","1","","","6","5","1","","","","","3",""
"128715879","Completed","186.24.192.63","04/03/2024 09:13:52","0","272","1","","","","","","","","","VE","B","2","2","1","1","1","1","1","","1","","","","1","1","","1","","1","","","1","1","3","3","","1","1","","","","1","","","","","1","2","1","","","1","","","6","5","1","","","","","3",""
"128716047","Completed","170.244.90.38","04/03/2024 09:15:13","0","211","1","","","","","","","","","VE","M","1","2","1","1","","1","","1","2","1","","","","","","","","","","","1","","1","3","1","1","","","","","1","","1","1","1","","1","3","","","1","1","1","6","5","1","","","1","","2",""
"128717840","Completed","200.82.238.2","04/03/2024 09:36:32","0","455","1","","","","","","","","","VE","K","1","2","1","","1","","1","","2","","","","1","1","","1","","1","","","","","1","1","","1","","1","","","1","1","1","","","","5","1","1","","","","","6","5","1","","","","","3",""
"128719490","Completed","190.202.45.30","04/03/2024 09:54:09","0","255","1","","","","","","","","","VE","A","2","4","2","","1","","","","2","","","","1","","","1","","","","","","","2","1","","1","","","","","","","","","1","","5","1","1","","","","","6","5","","","","1","","2",""
"128720366","Completed","200.82.188.184","04/03/2024 10:02:25","0","191","1","","","","","","","","","VE","B","1","2","1","","","1","","","1","","","","1","1","","","1","","","","","","5","1","","1","","","","","","1","1","1","","","2","1","1","1","","1","","6","5","1","","1","","","3",""
"128720825","Completed","45.181.226.156","04/03/2024 10:06:12","0","556","1","","","","","","","","","VE","A","1","3","1","1","1","1","1","1","2","","","","","1","","1","1","1","1","1","1","1","3","1","","","1","","1","","1","","","1","","1","5","1","1","","","","1","1","5","1","","","","","3",""
"128720835","Completed","204.157.96.126","04/03/2024 10:06:16","0","196","1","","","","","","","","","VE","K","1","2","2","1","1","","1","","2","1","1","","","1","","1","1","1","","1","1","","2","1","1","","1","","","1","1","1","1","","","1","2","3","","1","","1","1","5","4","1","","","","","1",""
"128721832","Completed","201.249.207.148","04/03/2024 10:14:12","0","244","1","","","","","","","","","VE","","2","3","2","","1","","1","","1","","","","","1","","1","","","","1","1","","3","","","","","","","1","","1","1","","","","2","1","1","","1","","","6","2","","","","","1","1",""
"128722449","Completed","190.73.24.33","04/03/2024 10:20:01","0","258","1","","","","","","","","","VE","A","2","2","1","","1","","","","2","","","","","","1","","","1","","","","","4","1","","","","","","","1","1","","","","","5","1","1","","","","","6","5","","","","","1","1",""
"128722673","Completed","186.167.201.9","04/03/2024 10:22:00","0","226","1","","","","","","","","","VE","G","2","2","2","","1","","","1","2","","","","1","1","","","1","1","","","","","2","1","1","","1","","","","","","","1","1","","5","3","","","1","1","1","6","5","1","","","","1","1",""
"128723878","Completed","181.208.241.214","04/03/2024 10:32:02","0","153","1","test_response","","","","","","","","VE","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128724251","Completed","190.97.250.65","04/03/2024 10:35:20","0","311","1","","","","","","","","","VE","D","2","2","2","","1","","","","2","1","","","","","","1","","","","","","","2","1","","1","","","","","1","","","","","1","5","3","","","1","","","5","1","","","","1","","4",""
"128725717","Completed","45.187.7.21","04/03/2024 10:48:00","0","282","1","","","","","","","","","VE","F","2","2","1","1","","1","1","","2","","","","1","","1","1","","1","","","1","1","2","1","","1","","","","1","","1","1","","","","2","1","1","","","1","","6","5","1","","","","","1",""
"128726241","Completed","190.37.7.39","04/03/2024 10:52:16","0","197","1","","","","","","","","","VE","","1","3","1","1","1","1","1","","1","","","","","1","","1","1","","","1","1","","5","1","","","","","1","1","1","1","1","1","1","1","2","1","1","1","","1","1","6","2","1","","","","","3",""
"128726477","Completed","186.167.201.252","04/03/2024 10:54:18","0","182","1","","","","","","","","","VE","G","1","3","1","","","1","","","2","1","","","1","","","1","1","","","","","","5","1","1","","","","","","1","1","","","1","","5","1","","","","","1","6","5","1","1","","","","1",""
"128726499","Completed","186.185.113.100","04/03/2024 10:54:27","0","303","1","","","","","","","","","VE","A","2","3","1","1","","","","","2","","","","1","","","","","","","1","","","2","1","","1","","","","","","1","","","","","5","1","","","","1","","6","5","","","","","1","1",""
"128727165","Completed","38.41.43.91","04/03/2024 11:00:16","0","283","1","","","","","","","","","VE","S","2","3","1","","","","","1","2","","1","","1","","","","","1","","","1","","5","1","","1","","1","","1","1","1","","","1","1","2","3","","","1","","","6","5","","","","","1","3",""
"128728773","Completed","201.221.115.220","04/03/2024 11:14:26","0","1130","1","","","","","","","","","VE","A","1","3","1","1","","","","","2","","","","1","","","1","","1","","","","","4","1","1","1","","1","","","","1","","","1","1","1","1","","","1","1","","6","5","1","","","","","3",""
"128730585","Completed","190.199.225.235","04/03/2024 11:29:52","0","279","1","","","","","","","","","VE","G","2","3","1","1","1","1","1","","2","","","1","1","1","","","1","1","1","","","1","2","3","1","1","","","","1","1","","","1","1","","2","1","1","","","","1","2","5","1","","","","","1",""
"128731286","Completed","190.204.220.40","04/03/2024 11:33:21","0","159","1","","","","","","","","","VE","","1","3","2","","","1","","","1","","","","1","","","1","","","","","","","6","1","","","","","","","1","1","","","","","5","1","","","","","1","6","1","1","","","","1","1",""
"128732764","Completed","181.208.72.44","04/03/2024 11:43:56","0","223","1","","","","","","","","","VE","","1","2","1","1","","1","1","","1","","","","1","1","1","1","1","1","","","1","1","5","2","","1","1","","1","1","1","1","1","1","","","2","3","","1","1","1","1","6","5","1","","","1","","1",""
"128734003","Completed","186.24.109.86","04/03/2024 11:52:51","0","298","1","","","","","","","","","VE","","1","4","2","1","1","1","1","","2","","","1","1","1","1","1","1","","1","1","1","","5","1","1","1","","","","1","1","1","","","1","","5","1","","1","1","","1","1","4","1","1","1","","","4",""
"128738782","Completed","190.198.157.207","04/03/2024 12:28:10","0","302","1","","","","","","","","","VE","F","1","5","2","","1","1","1","","2","1","","1","1","1","1","1","","1","","1","","1","5","1","1","1","","1","1","","1","1","1","","1","","5","1","1","","1","1","","5","2","","","1","","","1",""
"128739241","Completed","186.167.203.166","04/03/2024 12:31:31","0","0","1","","","","","","","","","VE","G","2","4","2","","1","","","","2","","1","","","1","","","","","","","","1","3","1","","","1","1","","","","","","1","1","","5","3","","","","","1","6","5","","","","","1","1",""
"128740713","Completed","186.167.202.189","04/03/2024 12:44:38","0","267","1","","","","","","","","","VE","G","1","2","2","","","1","","","2","1","","","","","","1","","","","","","","2","3","","","","","","","1","1","","","","","5","3","","","1","","","6","5","","","","1","","5",""
"128741863","Completed","2803:c000:8:18cb:bcf3:34d0:dba:ef93","04/03/2024 12:53:47","0","428","1","","","","","","","","","VE","G","2","2","2","1","1","1","1","1","1","","","","","1","","","","1","","","","","3","1","1","","","","","","","1","","","","","2","1","1","","","","","6","5","","","","1","","1",""
"128743139","Completed","181.208.94.25","04/03/2024 13:04:02","0","262","1","","","","","","","","","VE","","2","2","1","1","","1","","1","1","","1","","1","","","1","","1","","1","1","1","2","1","","1","1","","","","1","","1","1","","","2","1","1","","","","","6","5","1","","","","","4",""
"128748076","Completed","186.167.206.217","04/03/2024 13:44:45","0","150","1","","","","","","","","","VE","A","1","2","1","1","1","","","","2","","","","","","","1","","","","","","","2","1","","","","","","","","","","","","","","","1","","1","","","5","5","","","","","","2",""
"128751034","Completed","38.45.37.109","04/03/2024 14:08:44","0","188","1","","","","","","","","","VE","X","1","3","1","1","","1","1","","2","","","","1","","","","","","","","","1","5","3","1","1","1","","1","1","1","1","1","","1","1","2","1","","","","1","1","6","5","","","","","","1",""
"128753697","Completed","201.238.1.202","04/03/2024 14:30:26","0","182","1","","","","","","","","","VE","","2","5","2","","","1","","","1","","","","","1","","","","1","","","","","3","1","","","1","","","","","","","","","1","2","3","","","1","","","6","5","","","","1","","1",""
"128757786","Completed","186.185.104.105","04/03/2024 15:03:05","0","221","1","","","","","","","","","VE","A","2","3","2","","1","","","","1","","","","1","","","","","1","","","","","3","1","","1","","","","","","1","1","","1","","2","1","1","","1","1","","5","5","","1","","1","1","1",""
"128764417","Completed","190.216.239.122","04/03/2024 15:53:42","0","231","1","","","","","","","","","VE","A","1","2","2","","1","","","1","1","1","","","1","","1","1","","1","","","","1","2","1","1","","","","1","","","1","","1","1","","5","1","","","","1","","5","3","1","","","1","","3",""
"128766096","Completed","186.185.57.110","04/03/2024 16:07:05","0","195","1","","","","","","","","","VE","A","1","3","1","1","","","1","1","2","1","1","","1","1","","1","1","1","1","1","1","1","2","1","1","1","","1","1","","","1","1","1","1","1","2","1","1","","1","1","1","5","5","1","","","1","","1",""
"128776420","Completed","186.185.41.53","04/03/2024 17:29:51","0","573","1","","","","","","","","","VE","A","1","3","1","1","1","1","1","","2","1","","","1","1","1","","","1","","","1","","2","1","1","1","1","","","","1","1","1","1","1","","5","1","1","1","1","","1","6","5","1","1","1","1","","4",""
"128779382","Completed","190.79.164.114","04/03/2024 17:56:12","0","245","1","","","","","","","","","VE","A","1","3","2","","1","","","","1","1","","","1","","","","","1","1","","","","2","1","","1","1","","","","1","1","1","","","","2","1","1","","","1","1","6","5","1","1","","","","1",""
"128783635","Completed","186.188.88.162","04/03/2024 18:40:24","0","41","1","test_response","","","","","","","","VE","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128784446","Completed","190.198.218.239","04/03/2024 18:48:54","0","493","1","","","","","","","","","VE","A","1","1","2","","","","1","","2","","","1","","","","","","1","","","","","2","1","","1","","","","","","","","","1","","2","3","","1","","","","6","5","1","","","","","3",""
"128784684","Completed","190.202.32.66","04/03/2024 18:51:09","0","423","1","","","","","","","","","VE","A","1","3","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","","1","","","2","1","","1","1","","1","1","","","1","1","1","","1","1","1","1","1","1","1","2","2","1","1","1","","","1",""
"128785002","Completed","45.182.141.88","04/03/2024 18:54:29","0","220","1","","","","","","","","","VE","G","1","2","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","1","1","1","1","6","5","1","1","1","1","1","1",""
